['knapPI_1_1000_1000_1.csv', 12218, 10915, 11568.333333333334, 486.7938190057699, 116.00999800000001, 129.464133, 121.835221, 3.4528690382097693, 12]
['knapPI_1_100_1000_1.csv', 4451, 3681, 4045.8333333333335, 225.45983874936326, 23.882212000000003, 32.076069000000004, 30.20178733333334, 2.023554338271619, 12]
['knapPI_1_2000_1000_1.csv', 19922, 17656, 18665.727272727272, 770.031651168738, 269.262496, 286.83826400000004, 277.79296300000004, 4.786895293192432, 11]
['knapPI_1_200_1000_1.csv', 5047, 3893, 4305.363636363636, 308.0065739343511, 35.407768000000004, 38.401367, 37.49294218181819, 0.9161507711553336, 11]
['knapPI_1_500_1000_1.csv', 9244, 6658, 7830.454545454545, 718.0187847170934, 64.270286, 67.10785700000001, 66.35776527272729, 0.7398636202777954, 11]
['knapPI_2_1000_1000_1.csv', 5694, 5518, 5585.545454545455, 57.085842276607885, 118.04153400000001, 125.447686, 121.65418981818183, 2.6776195731493155, 11]
['knapPI_2_100_1000_1.csv', 1344, 1220, 1263.2727272727273, 36.12123754320846, 30.157704000000003, 32.707588, 31.34163954545455, 0.7146531982818167, 11]
['knapPI_2_2000_1000_1.csv', 11075, 10749, 10890.0, 83.99675318400435, 271.047766, 288.461875, 277.03459736363635, 5.315865724015276, 11]
['knapPI_2_200_1000_1.csv', 1372, 1242, 1296.3636363636363, 37.65217059364869, 37.266421, 39.030537, 37.89910145454545, 0.5246013488696765, 11]
['knapPI_2_500_1000_1.csv', 3053, 2935, 2994.7272727272725, 35.8407865911321, 65.938851, 70.51572900000001, 67.39559918181818, 1.2440258533682869, 11]
['knapPI_3_1000_1000_1.csv', 4490, 4433, 4466.090909090909, 18.46103781902231, 119.33854600000001, 124.897833, 122.01485563636362, 1.677150791496332, 11]
['knapPI_3_100_1000_1.csv', 895, 895, 895.0, 0.0, 28.442753000000003, 32.180718, 31.016490454545455, 1.0298564191965924, 11]
['knapPI_3_2000_1000_1.csv', 8816, 8604, 8680.727272727272, 57.333301300522805, 269.006158, 312.14806000000004, 278.0576990909091, 11.447487810882322, 11]
['knapPI_3_200_1000_1.csv', 895, 895, 895.0, 0.0, 37.077220000000004, 38.911524, 37.980036818181816, 0.5549245693321858, 11]
['knapPI_3_500_1000_1.csv', 2217, 2217, 2217.0, 0.0, 66.309363, 68.149445, 67.05631727272727, 0.6871317452186937, 11]
