-345,[1,1,1,...,0,0,0],2019-11-04 20:27:54.150998,2019-11-04 20:27:57.307546,0:00:03.156548,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:29:07.843994,2019-11-04 20:29:11.018240,0:00:03.174246,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:30:42.862918,2019-11-04 20:30:46.044702,0:00:03.181784,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:40:31.887803,2019-11-04 20:40:35.117312,0:00:03.229509,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:43:33.019998,2019-11-04 20:43:36.222373,0:00:03.202375,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:51:26.116110,2019-11-04 20:51:29.331078,0:00:03.214968,1,2,[50,50]
-344,[1,1,1,...,0,0,0],2019-11-04 20:53:14.748536,2019-11-04 20:53:17.905189,0:00:03.156653,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:54:02.395544,2019-11-04 20:54:05.457875,0:00:03.062331,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:59:14.993283,2019-11-04 20:59:18.237369,0:00:03.244086,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 20:59:26.534753,2019-11-04 20:59:29.743814,0:00:03.209061,1,2,[50,50]
-345,[1,1,1,...,0,0,0],2019-11-04 21:05:21.141463,2019-11-04 21:05:24.342600,0:00:03.201137,1,2,[50,50]
